s_m,x_center_m,y_center_m,heading_rad,curvature_1pm,x_left_m,y_left_m,x_right_m,y_right_m
122.03540685233644,0.0,122.0,1.5707963267948966,0.0,-4.0,122.0,4.0,122.0
124.04520181317947,0.0,124.0,1.5707963267948966,0.0,-4.0,124.0,4.0,124.0
126.05625468438386,0.0,126.0,1.5707963267948966,0.0,-4.0,126.0,4.0,126.0
128.06851670121645,0.0,128.0,1.5707963267948966,0.0,-4.0,128.0,4.0,128.0
130.08192025918498,0.0,130.0,1.5707963267948966,0.0,-4.0,130.0,4.0,130.0
132.0963808434003,0.0,132.0,1.5707963267948966,0.0,-4.0,132.0,4.0,132.0
134.11179894539865,0.0,134.0,1.5707963267948966,0.0,-4.0,134.0,4.0,134.0
136.1280619684346,0.0,136.0,1.5707963267948966,0.0,-4.0,136.0,4.0,136.0
138.14504612139655,0.0,138.0,1.5707963267948966,0.0,-4.0,138.0,4.0,138.0
140.16261830229465,0.0,140.0,1.5707963267948966,0.0,-4.0,140.0,4.0,140.0
142.18063797251622,0.0,142.0,1.5707963267948966,0.0,-4.0,142.0,4.0,142.0
144.19895902336222,0.0,144.0,1.5707963267948966,0.0,-4.0,144.0,4.0,144.0
146.21743163659704,0.0,146.0,1.5707963267948966,0.0,-4.0,146.0,4.0,146.0
148.23590414091547,0.0,148.0,1.5707963267948966,0.0,-4.0,148.0,4.0,148.0
152.23959701598366,0.03999466695110243,151.99946670933173,1.5307963267948965,-0.02,-3.9568057596928092,152.15942404607827,4.036795093595014,151.83950937258518
154.219525196862,0.1599146848690367,153.99573469845865,1.4907963267948965,-0.02,-3.8272921403414406,154.31539347433534,4.147121510079514,153.67607592258196
156.18840680594934,0.3595682073066868,155.985610364446,1.4507963267948965,-0.02,-3.611666336108778,156.46445919360167,4.330802750722151,155.5067615352903
158.14630053226307,0.6386358312186502,157.96591033071232,1.4107963267948964,-0.02,-3.3102733022838575,158.6031831571693,4.5875449647211575,157.32863750425534
160.09331731903424,0.9966711079379209,159.93346653975308,1.3707963267948964,-0.02,-2.9235952034270456,160.72814386293334,4.916937419302887,159.13878921657283
162.02962263576225,1.4331012573985191,161.88513132135674,1.3307963267948963,-0.02,-2.452250642009599,162.83594182706528,5.318453156806637,160.9343208156482
163.9554388381002,1.9472280844614573,163.8177824282057,1.2907963267948963,-0.02,-1.8969936687816262,164.92320502246216,5.7914498377045405,162.71235983394925
165.8710476098228,2.538229095877959,165.7283280308059,1.2507963267948967,-0.02,-1.2587125764518046,166.98659427327036,6.335170768207723,164.47006178834144
167.77679247823255,3.205158816103257,167.6137116637545,1.2107963267948967,-0.02,-0.5384284786084828,169.02280859685484,6.948746110814996,166.20461473065413
169.67308139105972,3.946950299855743,169.47091711543254,1.1707963267948966,-0.02,0.26270632384420267,171.02859048466715,7.6311942758672835,167.91324374619794
171.56038933950106,4.76241683900183,171.2969732533,1.1307963267948966,-0.02,1.1434101861219763,173.000731113564,8.381423491881684,169.593215393036
173.43926100757946,5.650253861035793,173.08895877707414,1.0907963267948966,-0.02,2.1022741699186565,174.93607547924006,9.19823355215293,171.24184207490822
175.31031342592598,6.609041016117509,174.84400689218685,1.0507963267948965,-0.02,3.137764297406909,176.8315274435618,10.080317734828109,172.8564863408119
177.17423859696967,7.637244449329202,176.55930989604417,1.0107963267948965,-0.02,4.248224005275538,178.6840546877277,11.026264893382866,174.43456510436064
179.0318060768886,8.733219254516086,178.2321236697518,0.9707963267948965,-0.02,5.431876794877374,180.49069356333192,12.0345617141548,175.97355377617166
180.88386542268535,9.895212105785376,179.8597720681196,0.9307963267948964,-0.02,6.686829074248205,182.2485538335692,13.103595137322547,177.47099030267003
182.7313486335367,11.121364062453615,181.43965120092344,0.8907963267948964,-0.02,8.011073187449904,183.95482329699732,14.231654937457327,178.92447910484955
184.57527206099513,12.409713542955245,182.96923359857365,0.8507963267948968,-0.02,9.402490626391664,185.60677228645955,15.416936459518826,180.33169491068776
186.4167389490921,13.758199462954742,184.44607225552755,0.8107963267948968,-0.02,10.858855419991121,187.20175803596976,16.657543505918362,181.69038647508535
188.25694038363469,15.164664532641723,185.86780454497614,0.7707963267948967,-0.02,12.37783769525306,188.73722890857422,17.951491370030386,182.99838018137805
190.09715507316284,16.626858707934595,187.23215599854296,0.7307963267948967,-0.02,13.957007404569362,190.2107284784264,19.296710011299826,184.25358351865952
191.93868813881323,18.14244279007099,188.53694394494846,0.6907963267948967,-0.02,15.593838213276669,191.61989946054433,20.691047366865313,185.4539884293526
193.7827783506095,19.70899216782686,189.7800810018183,0.6507963267948966,-0.02,17.285711541253008,192.96248748196376,22.132272794400713,186.59767452167284
195.6305699455617,21.324000696377173,190.95957841504992,0.6107963267948966,-0.02,19.029920752087346,194.23634468825392,23.618080640667,187.68281214184591
197.48311525092728,22.984884706593018,192.07354924039484,0.5707963267948966,-0.02,20.82367548312046,195.43943317962643,25.146093930065575,188.70766530116325
199.34137624173485,24.688987138361085,193.1202113621669,0.5307963267948965,-0.02,22.664106109429973,196.56982827114027,26.713868167292198,189.67059445319356
201.20622722612816,26.433581791313006,194.0978903442474,0.4907963267948965,-0.02,24.548268334618047,197.62572157178718,28.318895248007966,190.5700591167076
203.07845735883123,28.2158776861644,195.00502210882524,0.45079632679489645,-0.02,26.47314790105755,198.60542387753125,29.95860747127125,191.40462034011924
204.9587734306962,30.033023529686346,195.84015543858834,0.41079632679489664,-0.02,28.435665412061255,199.5073678736754,31.630381647311438,192.17294300350127
206.8478027140051,31.882112276166325,196.6019542983613,0.3707963267948966,-0.02,30.43268125825963,200.3301106422302,33.33154329407302,192.8737979544924
208.7460958796651,33.7601857780612,197.28919997247695,0.33079632679489657,-0.02,32.461000640306096,201.0723359702751,35.0593709158163,193.5060639746788
210.65412993230677,35.66423951840223,197.90079301446124,0.29079632679489653,-0.02,34.51737867987441,201.73285645561813,36.811100356930055,194.06872957330435
212.57231113771493,37.59122741738136,198.43575500591328,0.2507963267948965,-0.02,36.59852561077187,202.31061540638635,38.58392922399085,194.5608946054402
214.50097791494608,39.538066705429046,198.8932301217658,0.21079632679489646,-0.02,38.70111204186337,202.80468853150708,40.37502136899472,194.98177171202454
216.44040367235763,41.501642854987956,199.272486499423,0.17079632679489665,-0.02,40.82177428338699,203.21428541937684,42.18151142658892,195.33068757946916
218.3907995706386,43.478814563092726,199.5729174095843,0.1307963267948966,-0.02,42.95711972814014,203.53875080235105,44.00050939804531,195.60708401681757
220.35231720021372,45.46641877678452,199.794042226882,0.09079632679489658,-0.02,45.10373227892728,203.77756560503255,45.82910527464176,195.81051884873145
222.32505116404863,47.46127575332105,199.93550719877913,0.05079632679489654,-0.02,47.258177813586734,203.93034777468148,47.66437369305536,195.9406666228768
224.30904156018983,49.46019414708664,199.9970860114983,0.010796326794896505,-0.02,49.41700967885357,203.9968528924182,49.50337861531971,195.99731913057843
226.85439890404012,52.0,200.0,0.0,0.0,52.0,204.0,52.0,196.0
228.87345512497558,54.0,200.0,0.0,0.0,54.0,204.0,54.0,196.0
230.89257072905968,56.0,200.0,0.0,0.0,56.0,204.0,56.0,196.0
232.91158338406854,58.0,200.0,0.0,0.0,58.0,204.0,58.0,196.0
234.93033205693052,60.0,200.0,0.0,0.0,60.0,204.0,60.0,196.0
236.9486590633465,62.0,200.0,0.0,0.0,62.0,204.0,62.0,196.0
238.96641212137052,64.0,200.0,0.0,0.0,64.0,204.0,64.0,196.0
240.9834464112476,66.0,200.0,0.0,0.0,66.0,204.0,66.0,196.0
242.9996266436243,68.0,200.0,0.0,0.0,68.0,204.0,68.0,196.0
245.01482913800237,70.0,200.0,0.0,0.0,70.0,204.0,70.0,196.0
247.0289439129609,72.0,200.0,0.0,0.0,72.0,204.0,72.0,196.0
249.041876789344,74.0,200.0,0.0,0.0,74.0,204.0,74.0,196.0
251.05355150687498,76.0,200.0,0.0,0.0,76.0,204.0,76.0,196.0
253.06391185499282,78.0,200.0,0.0,0.0,78.0,204.0,78.0,196.0
255.0729238149088,80.0,200.0,0.0,0.0,80.0,204.0,80.0,196.0
257.0805777200469,82.0,200.0,0.0,0.0,82.0,204.0,82.0,196.0
259.086890403884,84.0,200.0,0.0,0.0,84.0,204.0,84.0,196.0
261.0919074288996,86.0,200.0,0.0,0.0,86.0,204.0,86.0,196.0
263.0957050751563,88.0,200.0,0.0,0.0,88.0,204.0,88.0,196.0
265.0983930937188,90.0,200.0,0.0,0.0,90.0,204.0,90.0,196.0
267.1001151392309,92.0,200.0,0.0,0.0,92.0,204.0,92.0,196.0
269.10105563565685,94.0,200.0,0.0,0.0,94.0,204.0,94.0,196.0
271.1014311825425,96.0,200.0,0.0,0.0,96.0,204.0,96.0,196.0
273.1015064188664,98.0,200.0,0.0,0.0,98.0,204.0,98.0,196.0
275.1015092469059,100.0,200.0,0.0,0.0,100.0,204.0,100.0,196.0
277.10155617378183,102.0,200.0,0.0,0.0,102.0,204.0,102.0,196.0
279.10342622151995,104.0,200.0,0.0,0.0,104.0,204.0,104.0,196.0
281.1123837866123,106.0,200.0,0.0,0.0,106.0,204.0,106.0,196.0
283.1334922108839,108.0,200.0,0.0,0.0,108.0,204.0,108.0,196.0
285.1692787998542,110.0,200.0,0.0,0.0,110.0,204.0,110.0,196.0
287.220645517325,112.0,200.0,0.0,0.0,112.0,204.0,112.0,196.0
289.28677814342404,114.0,200.0,0.0,0.0,114.0,204.0,114.0,196.0
291.3656541993708,116.0,200.0,0.0,0.0,116.0,204.0,116.0,196.0
293.4542869121905,118.0,200.0,0.0,0.0,118.0,204.0,118.0,196.0
295.54903360856775,120.0,200.0,0.0,0.0,120.0,204.0,120.0,196.0
297.64586097937666,122.0,200.0,0.0,0.0,122.0,204.0,122.0,196.0
299.7406076377712,124.0,200.0,0.0,0.0,124.0,204.0,124.0,196.0
301.8292404952946,126.0,200.0,0.0,0.0,126.0,204.0,126.0,196.0
303.9081160495657,128.0,200.0,0.0,0.0,128.0,204.0,128.0,196.0
305.9742503451928,130.0,200.0,0.0,0.0,130.0,204.0,130.0,196.0
308.02561178472973,132.0,200.0,0.0,0.0,132.0,204.0,132.0,196.0
