s_m,x_path_m,y_path_m,x_left_m,y_left_m,x_right_m,y_right_m,offset_m,curvature_1pm,speed_mps,speed_kph,gear,rpm,ax_mps2,ay_mps2,limit
54.0,-4.0,54.0,-4.0,54.0,4.0,54.0,4.0,-5.81477683213553e-17,54.86426356072131,197.51134881859673,4,14862.072646632838,-11.772000000000162,-1.750298656961009e-13,stoppie
56.0,-4.0,56.0,-4.0,56.0,4.0,56.0,4.0,2.17010425722042e-16,54.433440237231856,195.9603848540347,4,14745.367762323624,-11.772000000000048,6.430017646934058e-13,stoppie
58.0,-4.0,58.0,-4.0,58.0,4.0,58.0,4.0,-8.098939345668126e-16,53.99917977210665,194.39704717958395,4,14627.731797464488,-11.771999999999991,-2.3615789696013564e-12,stoppie
60.0,-4.0,60.0,-4.0,60.0,4.0,60.0,4.0,3.0225653125452082e-15,53.56139856333376,192.82103482800153,4,14509.142105270543,-11.772000000000048,8.671206145201289e-12,stoppie
62.0,-4.0,62.0,-4.0,62.0,4.0,62.0,4.0,-1.1280367315614019e-14,53.12000956381966,191.23203442975077,4,14389.575105725517,-11.771999999999991,-3.183021196063704e-11,stoppie
64.0,-4.0,64.0,-4.0,64.0,4.0,64.0,4.0,4.209890394991087e-14,52.67492207929967,189.6297194854788,4,14269.006230838091,-11.771999999999991,1.1680961506359062e-10,stoppie
66.0,-4.0,66.0,-4.0,66.0,4.0,66.0,4.0,-1.571152484840295e-13,52.22604155074642,188.01374958268713,4,14147.409865698992,-11.772000000000048,-4.285411754092671e-10,stoppie
68.0,-4.0,68.0,-4.0,68.0,4.0,68.0,4.0,5.863620899862071e-13,51.77326931979756,186.38376955127123,4,14024.75928493812,-11.772000000000048,1.5717268216694006e-09,stoppie
70.0,-4.0,70.0,-4.0,70.0,4.0,70.0,4.0,-2.1883331114607982e-12,51.316502375554506,184.73940855199623,4,13901.026584135394,-11.772000000000105,-5.762720124536483e-09,stoppie
72.0,-4.0,72.0,-4.0,72.0,4.0,72.0,4.0,8.166970355856985e-12,50.85563308091141,183.08027909128108,3,15903.66786958409,-11.772000000000048,2.11221979944532e-08,stoppie
74.0,-4.0,74.0,-4.0,74.0,4.0,74.0,4.0,-3.0479548311967153e-11,50.39054887635469,181.4059759548769,3,15758.225874812497,-11.771999999999935,-7.739389511191492e-08,stoppie
76.0,-4.0,76.0,-4.0,76.0,4.0,76.0,4.0,1.1375122289201159e-10,49.92113195892388,179.71607505212597,3,15611.428946037548,-11.771999999999991,2.83481631169784e-07,stoppie
78.0,-4.0,78.0,-4.0,78.0,4.0,78.0,4.0,-4.2452534325607913e-10,49.447258933739604,178.0101321614626,3,15463.238494983769,-11.771999999999991,-1.0379778011748923e-06,stoppie
80.0,-4.0,80.0,-4.0,80.0,4.0,80.0,4.0,1.5843501501323047e-09,48.968800435178025,176.28768156664088,3,15313.614066193413,-11.77199999999965,3.7991820112438943e-06,stoppie
82.0,-4.0,82.0,-4.0,82.0,4.0,82.0,4.0,-5.9128752572731416e-09,48.48562071439628,174.5482345718266,3,15162.51320803665,-11.771999999995614,-1.3900314823049468e-05,stoppie
84.00000000000001,-4.0,84.00000000000001,-4.0,84.00000000000001,4.0,84.00000000000001,4.0,2.206715087896018e-08,47.997577189482456,172.79127788213685,3,15009.891332033616,-11.771999999940988,5.0837583160235455e-05,stoppie
86.0,-4.0,86.0,-4.0,86.0,4.0,86.0,4.0,-8.235572825856792e-08,47.50451995400823,171.01627183442963,3,14855.701559168108,-11.771999999211516,-0.00018585047675580418,stoppie
88.00000000000001,-4.0,88.0,-4.0,88.0,4.0,88.0,4.0,3.073557621552969e-07,47.006291239222804,169.2226484612021,3,14699.89455170385,-11.771999989470999,0.0006791306537369621,stoppie
90.00000000000026,-4.0,90.0,-4.0,90.0,4.0,90.0,4.0,-1.1470673203619228e-06,46.50272482494969,167.40980936981887,3,14542.418328959058,-11.771999859524271,-0.00248053699883094,stoppie
92.00000000000352,-4.0,92.0,-4.0,92.0,4.0,92.0,4.0,4.2809135192561745e-06,45.993645400102366,165.57712344036852,3,14383.218067325708,-11.77199812757874,0.009055910458293142,corner
94.00000000004913,-4.0,94.0,-4.0,94.0,4.0,94.0,4.0,-1.5976586754779903e-05,45.478867962199885,163.7239246639196,3,14222.235912484944,-11.771975066838507,-0.03304481264063104,corner
96.0000000006842,-4.0,96.0,-4.0,96.0,4.0,96.0,4.0,5.9625433401990334e-05,44.95819854753551,161.84951477112784,3,14059.411207746754,-11.771668325964754,0.12051728815141038,corner
98.00000000952963,-4.0,98.0,-4.0,98.0,4.0,98.0,4.0,-0.00022252514176566434,44.431453771987925,159.95323357915655,3,13894.686604888713,-11.76759143210711,-0.43929891747440936,corner
100.00000013273069,-4.0,100.0,-4.0,100.0,4.0,100.0,4.0,0.0008304748692077276,43.89873440176565,158.03544384635634,3,13728.093615706377,-11.71324819135421,1.6004071920430578,corner
102.00000184869897,-4.0,102.00000000000001,-4.0,102.00000000000001,4.0,102.00000000000001,4.0,-0.0030993605886549002,43.36413329006174,156.11087984422227,3,13560.912164838928,-10.945302940730414,-5.82818659377367,corner
104.00007114865737,-3.9877903451566348,104.0,-4.0,104.0,4.0,104.0,3.9877903451566348,-0.0033596283471656633,42.88980179378093,154.40328645761136,3,13412.57833985378,-10.12350962490126,-6.180154260543976,corner
106.00042194176562,-3.951912768854591,106.0,-4.0,106.0,4.0,106.0,3.951912768854591,-0.003619896105676426,42.41994331560154,152.71179593616557,2,15915.588872684855,-9.912297223268837,-6.513827806247989,corner
108.00130420292048,-3.893494353435948,108.0,-4.0,108.0,4.0,108.0,3.893494353435948,-0.003880163864187189,41.95488651448721,151.03759145215395,2,15741.103659587941,-9.696716397915054,-6.829912945271775,corner
110.0029194484336,-3.813662181242784,109.99999999999999,-4.0,109.99999999999999,4.0,109.99999999999999,3.813662181242784,-0.004140431622697952,41.49493635778272,149.3817708880178,2,15568.53441446726,-9.477794911458801,-7.129118318212088,corner
112.0054436340525,-3.713543334617176,112.0,-4.0,112.0,4.0,112.0,3.713543334617176,-0.004400699381208715,41.040371323470026,147.7453367644921,2,15397.98561980732,-9.25645866115542,-7.412151121037747,corner
114.00901312943333,-3.594264895901204,114.0,-4.0,114.0,4.0,114.0,3.594264895901204,-0.0046609671397194775,40.5914489398585,146.1292161834906,2,15229.553897960135,-9.033539509360423,-7.6797158109621115,corner
