s_m,x_path_m,y_path_m,offset_m,curvature_1pm,speed_mps,ax_mps2,ay_mps2
32.0,0.7715716584481704,32.0,-0.7715716584481704,0.001856597869906396,14.652194681311569,-8.429369557916289e-08,0.3985870722475149
33.0,0.7733490603778629,33.0,-0.7733490603778629,0.0019146357516147627,14.652194681311569,0.0,0.411047039871388
34.0,0.7732118245786292,34.0,-0.7732118245786292,0.001972653382657645,14.652194681311569,0.0,0.4235026599445086
35.0,0.7711019317253504,35.0,-0.7711019317253504,0.0020306468127085178,14.652194681311569,0.0,0.4359530843838805
36.0,0.7669613624929069,36.0,-0.7669613624929069,0.002088611794211875,14.652194681311569,0.0,0.44839740129536615
37.0,0.7607320975561804,37.0,-0.7607320975561804,0.0021465437742837607,14.652194681311569,-1.4600097131278744e-07,0.46083463323483753
38.0,0.7523561175900516,38.0,-0.7523561175900516,0.002204437886751104,14.652194661382682,-1.4600097131278744e-07,0.47326373421172574
39.0,0.7417754032694015,39.0,-0.7417754032694015,0.002262288944345441,14.652194661382682,0.0,0.4856835931289322
40.0,0.7289319352691113,40.0,-0.7289319352691113,0.002320091431067566,14.652194661382682,-8.429369557916289e-08,0.49809302452060256
41.0,0.7137676942640618,41.0,-0.7137676942640618,0.0023778394947404874,14.652194649876733,-1.6858739115832577e-07,0.5104907711997887
42.0,0.6962246609291339,42.00000000000001,-0.6962246609291339,0.002435526939769085,14.652194638370785,-8.429369557916289e-08,0.5228755038167943
43.0,0.676244815939209,43.0,-0.676244815939209,0.00249314722012566,14.652194638370785,-8.429369557916289e-08,0.5352458178665193
44.0,0.653770139969168,44.0,-0.653770139969168,0.0025506934325816052,14.652194626864837,-8.429369557916289e-08,0.5476002296550739
45.0,0.628742613693892,45.0,-0.628742613693892,0.0026081583102062302,14.652194626864837,0.0,0.5599371807689897
46.0,0.6011042177882617,46.0,-0.6011042177882617,0.0026655342161547198,14.652194626864837,-8.429369557916289e-08,0.5722550308378084
47.0,0.5707969329271583,47.0,-0.5707969329271583,0.0027228131377680744,14.652194615358889,-8.429369557916289e-08,0.5845520587312869
48.0,0.5377627397854627,48.0,-0.5377627397854627,0.002779986681008717,14.652194615358889,-8.429369557916289e-08,0.596826464177147
49.0,0.5019436190380562,49.0,-0.5019436190380562,0.002837046065256295,14.65219460385294,-1.6858739115832577e-07,0.60907636023671
50.0,0.46328155135981985,50.0,-0.46328155135981985,0.0028939821184890023,14.652194592346993,-8.429369557916289e-08,0.6212997787160859
