s_m,x_center_m,y_center_m,heading_rad,curvature_1pm,x_left_m,y_left_m,x_right_m,y_right_m
0.0,0.0,0.0,1.5707963267948966,0.0,-4.0,2.4492935982947064e-16,4.0,-2.4492935982947064e-16
1.0,0.0,1.0,1.5707963267948966,0.0,-4.0,1.0000000000000002,4.0,0.9999999999999998
2.0,0.0,2.0,1.5707963267948966,0.0,-4.0,2.0000000000000004,4.0,1.9999999999999998
3.0,0.0,3.0,1.5707963267948966,0.0,-4.0,3.0000000000000004,4.0,2.9999999999999996
4.0,0.0,4.0,1.5707963267948966,0.0,-4.0,4.0,4.0,3.9999999999999996
5.0,0.0,5.0,1.5707963267948966,0.0,-4.0,5.0,4.0,5.0
6.0,0.0,6.0,1.5707963267948966,0.0,-4.0,6.0,4.0,6.0
7.0,0.0,7.0,1.5707963267948966,0.0,-4.0,7.0,4.0,7.0
8.0,0.0,8.0,1.5707963267948966,0.0,-4.0,8.0,4.0,8.0
9.0,0.0,9.0,1.5707963267948966,0.0,-4.0,9.0,4.0,9.0
10.0,0.0,10.0,1.5707963267948966,0.0,-4.0,10.0,4.0,10.0
11.0,0.0,11.0,1.5707963267948966,0.0,-4.0,11.0,4.0,11.0
12.0,0.0,12.0,1.5707963267948966,0.0,-4.0,12.0,4.0,12.0
13.0,0.0,13.0,1.5707963267948966,0.0,-4.0,13.0,4.0,13.0
14.0,0.0,14.0,1.5707963267948966,0.0,-4.0,14.0,4.0,14.0
15.0,0.0,15.0,1.5707963267948966,0.0,-4.0,15.0,4.0,15.0
16.0,0.0,16.0,1.5707963267948966,0.0,-4.0,16.0,4.0,16.0
17.0,0.0,17.0,1.5707963267948966,0.0,-4.0,17.0,4.0,17.0
18.0,0.0,18.0,1.5707963267948966,0.0,-4.0,18.0,4.0,18.0
19.0,0.0,19.0,1.5707963267948966,0.0,-4.0,19.0,4.0,19.0
20.0,0.0,20.0,1.5707963267948966,0.0,-4.0,20.0,4.0,20.0
21.0,0.0,21.000000000000004,1.5707963267948966,0.0,-4.0,21.000000000000004,4.0,21.000000000000004
22.0,0.0,22.0,1.5707963267948966,0.0,-4.0,22.0,4.0,22.0
23.0,0.0,23.0,1.5707963267948966,0.0,-4.0,23.0,4.0,23.0
24.0,0.0,24.0,1.5707963267948966,0.0,-4.0,24.0,4.0,24.0
25.0,0.0,25.0,1.5707963267948966,0.0,-4.0,25.0,4.0,25.0
26.0,0.0,26.0,1.5707963267948966,0.0,-4.0,26.0,4.0,26.0
27.0,0.0,27.0,1.5707963267948966,0.0,-4.0,27.0,4.0,27.0
28.0,0.0,28.0,1.5707963267948966,0.0,-4.0,28.0,4.0,28.0
29.0,0.0,29.0,1.5707963267948966,0.0,-4.0,29.0,4.0,29.0
30.0,0.0,30.0,1.5707963267948966,0.0,-4.0,30.0,4.0,30.0
31.0,0.0,31.0,1.5707963267948966,0.0,-4.0,31.0,4.0,31.0
32.0,0.0,32.0,1.5707963267948966,0.0,-4.0,32.0,4.0,32.0
33.0,0.0,33.0,1.5707963267948966,0.0,-4.0,33.0,4.0,33.0
34.0,0.0,34.0,1.5707963267948966,0.0,-4.0,34.0,4.0,34.0
35.0,0.0,35.0,1.5707963267948966,0.0,-4.0,35.0,4.0,35.0
36.0,0.0,36.0,1.5707963267948966,0.0,-4.0,36.0,4.0,36.0
37.0,0.0,37.0,1.5707963267948966,0.0,-4.0,37.0,4.0,37.0
38.0,0.0,38.0,1.5707963267948966,0.0,-4.0,38.0,4.0,38.0
39.0,0.0,39.0,1.5707963267948966,0.0,-4.0,39.0,4.0,39.0
40.0,0.0,40.0,1.5707963267948966,0.0,-4.0,40.0,4.0,40.0
41.0,0.0,41.0,1.5707963267948966,0.0,-4.0,41.0,4.0,41.0
42.0,0.0,42.00000000000001,1.5707963267948966,0.0,-4.0,42.00000000000001,4.0,42.00000000000001
43.0,0.0,43.0,1.5707963267948966,0.0,-4.0,43.0,4.0,43.0
44.0,0.0,44.0,1.5707963267948966,0.0,-4.0,44.0,4.0,44.0
45.0,0.0,45.0,1.5707963267948966,0.0,-4.0,45.0,4.0,45.0
46.0,0.0,46.0,1.5707963267948966,0.0,-4.0,46.0,4.0,46.0
47.0,0.0,47.0,1.5707963267948966,0.0,-4.0,47.0,4.0,47.0
48.0,0.0,48.0,1.5707963267948966,0.0,-4.0,48.0,4.0,48.0
49.0,0.0,49.0,1.5707963267948966,0.0,-4.0,49.0,4.0,49.0
50.0,0.0,50.0,1.5707963267948966,0.0,-4.0,50.0,4.0,50.0
51.0,0.0,51.00000000000001,1.5707963267948966,0.0,-4.0,51.00000000000001,4.0,51.00000000000001
52.0,0.0,52.0,1.5707963267948966,0.0,-4.0,52.0,4.0,52.0
53.0,0.0,53.0,1.5707963267948966,0.0,-4.0,53.0,4.0,53.0
54.0,0.0,54.0,1.5707963267948966,0.0,-4.0,54.0,4.0,54.0
55.0,0.0,54.99999999999999,1.5707963267948966,0.0,-4.0,54.99999999999999,4.0,54.99999999999999
56.0,0.0,56.0,1.5707963267948966,0.0,-4.0,56.0,4.0,56.0
57.0,0.0,57.0,1.5707963267948966,0.0,-4.0,57.0,4.0,57.0
58.0,0.0,58.0,1.5707963267948966,0.0,-4.0,58.0,4.0,58.0
59.0,0.0,59.0,1.5707963267948966,0.0,-4.0,59.0,4.0,59.0
60.0,0.0,60.0,1.5707963267948966,0.0,-4.0,60.0,4.0,60.0
61.0,0.0,61.0,1.5707963267948966,0.0,-4.0,61.0,4.0,61.0
62.0,0.0,62.0,1.5707963267948966,0.0,-4.0,62.0,4.0,62.0
63.0,0.0,63.0,1.5707963267948966,0.0,-4.0,63.0,4.0,63.0
64.0,0.0,64.0,1.5707963267948966,0.0,-4.0,64.0,4.0,64.0
65.0,0.0,65.0,1.5707963267948966,0.0,-4.0,65.0,4.0,65.0
66.0,0.0,66.0,1.5707963267948966,0.0,-4.0,66.0,4.0,66.0
67.0,0.0,67.0,1.5707963267948966,0.0,-4.0,67.0,4.0,67.0
68.0,0.0,68.0,1.5707963267948966,0.0,-4.0,68.0,4.0,68.0
69.0,0.0,69.0,1.5707963267948966,0.0,-4.0,69.0,4.0,69.0
70.0,0.0,70.0,1.5707963267948966,0.0,-4.0,70.0,4.0,70.0
71.0,0.0,71.0,1.5707963267948966,0.0,-4.0,71.0,4.0,71.0
72.0,0.0,72.0,1.5707963267948966,0.0,-4.0,72.0,4.0,72.0
73.0,0.0,73.0,1.5707963267948966,0.0,-4.0,73.0,4.0,73.0
74.0,0.0,74.0,1.5707963267948966,0.0,-4.0,74.0,4.0,74.0
75.0,0.0,75.0,1.5707963267948966,0.0,-4.0,75.0,4.0,75.0
76.0,0.0,76.0,1.5707963267948966,0.0,-4.0,76.0,4.0,76.0
77.0,0.0,77.0,1.5707963267948966,0.0,-4.0,77.0,4.0,77.0
78.0,0.0,78.0,1.5707963267948966,0.0,-4.0,78.0,4.0,78.0
79.0,0.0,78.99999999999999,1.5707963267948966,0.0,-4.0,78.99999999999999,4.0,78.99999999999999
80.0,0.0,80.0,1.5707963267948966,0.0,-4.0,80.0,4.0,80.0
81.0,0.0,81.0,1.5707963267948966,0.0,-4.0,81.0,4.0,81.0
82.0,0.0,82.0,1.5707963267948966,0.0,-4.0,82.0,4.0,82.0
83.0,0.0,83.0,1.5707963267948966,0.0,-4.0,83.0,4.0,83.0
84.0,0.0,84.00000000000001,1.5707963267948966,0.0,-4.0,84.00000000000001,4.0,84.00000000000001
85.0,0.0,85.0,1.5707963267948966,0.0,-4.0,85.0,4.0,85.0
86.0,0.0,86.0,1.5707963267948966,0.0,-4.0,86.0,4.0,86.0
87.0,0.0,87.0,1.5707963267948966,0.0,-4.0,87.0,4.0,87.0
88.0,0.0,88.0,1.5707963267948966,0.0,-4.0,88.0,4.0,88.0
89.0,0.0,89.0,1.5707963267948966,0.0,-4.0,89.0,4.0,89.0
