x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,126.0,126.0,34.646401795292945,124.7270464630546,6,7474.439147732988,0.0,straight,0.0,0.0,stoppie
0.0,128.0,128.0,33.95963413502585,122.25468288609306,6,7326.279373000054,0.0,straight,0.0,0.0,stoppie
0.0,130.0,130.0,33.25865168900937,119.73114608043373,6,7175.052972425,0.0,straight,0.0,0.0,stoppie
0.0,132.0,132.0,32.54253086614941,117.15311111813789,6,7020.560695145619,0.0,straight,0.0,0.0,stoppie
0.0,134.0,134.0,31.810243179372826,114.51687544574217,6,6862.580660572755,0.0,straight,0.0,0.0,stoppie
0.0,136.0,136.0,31.06063770802968,111.81829574890685,6,6700.864574917844,0.0,straight,0.0,0.0,stoppie
0.0,138.0,138.0,30.292419584973857,109.05271050590589,6,6535.133090104708,0.0,straight,0.0,0.0,stoppie
0.0,140.0,140.0,29.504123343213184,106.21484403556747,6,6365.07005371092,0.0,straight,0.0,0.0,stoppie
0.0,142.0,142.0,28.694079528539046,103.29868630274056,6,6190.315306145705,0.0,straight,0.0,0.0,stoppie
0.0,144.0,144.0,27.86037236221339,100.2973405039682,6,6010.455547012604,0.0,straight,0.0,0.0,stoppie
0.0,146.0,146.0,27.000681421237466,97.20245311645488,6,5824.990180012941,0.0,straight,0.0,0.0,stoppie
0.0,148.0,148.0,26.127477587728617,94.05891931582302,6,5636.609610056732,0.0,straight,0.0,0.0,braking
0.0,150.0,150.0,25.315353050313078,91.13527098112708,6,5461.405977911649,0.0,straight,0.0,0.0,braking
0.04055009142152244,152.01329700547075,152.01370532654403,24.704578834225874,88.93648380321315,6,5329.640643718465,0.02,corner,0.0,0.0,braking
0.16213459328950108,154.0233284358363,154.02741065308808,24.38020665759901,87.76874396735644,6,5259.662234135263,0.02,corner,0.0,0.0,braking
0.3645562950973016,156.02683401276616,156.0411159796321,24.276051383474517,87.39378498050826,6,5237.192303117355,0.02,corner,0.0,0.0,braking
0.6474868681043588,158.02056404288803,158.05482130617614,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,braking
1.0104673978866145,160.00128468880223,160.06852663272016,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
1.4529091286973994,161.9657832143779,162.0822319592642,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
1.9740944184313847,163.91087319582263,164.09593728580822,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
2.573177902642726,165.83339969007363,166.10964261235227,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
3.2491878657292617,167.7302443521268,168.1233479388963,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
4.001027817058791,169.59833049300374,170.13705326544033,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
4.827478269480885,171.4346280701527,172.15075859198438,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
5.727198717339512,173.23615860218842,174.1644639185284,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
6.698729810778062,175.0,176.17816924507244,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
7.740495722810273,176.72329130639005,178.19187457161647,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
8.850806705317183,178.4032373365578,180.2055798981605,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
10.027861829824936,180.03711321189894,182.21928522470452,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
11.269751908617273,181.62226877976886,184.23299055124855,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
12.574462591444956,183.15613291203977,186.2466958777926,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
13.939877632809278,184.63621767547997,188.26040120433663,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
15.363782324520031,186.06012236719073,190.27410653088066,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
16.843867087960234,187.42553740855504,192.28781185742469,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
18.37773122023114,188.73024809138272,194.3015171839687,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
19.96288678810107,189.97213817017507,196.31522251051277,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
21.596762663442213,191.14919329468282,198.3289278370568,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
23.276708693609944,192.25950427718973,200.34263316360082,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
24.99999999999999,193.30127018922192,202.35633849014485,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
26.763841397811575,194.2728012826605,204.3700438166889,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
28.565371929847306,195.17252173051912,206.38374914323293,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
30.40166950699625,195.9989721829412,208.39745446977696,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
32.269755647873225,196.75081213427075,210.411159796321,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
34.16660030992637,197.42682209735727,212.42486512286501,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
36.08912680417737,198.02590558156862,214.43857044940904,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
38.034216785622114,198.5470908713026,216.45227577595307,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
39.998715311197785,198.9895326021134,218.4659811024971,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
41.979435957111995,199.35251313189565,220.47968642904112,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
43.973165987233855,199.63544370490268,222.49339175558515,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
45.97667156416371,199.8378654067105,224.50709708212918,24.266719658856914,87.36019077188489,6,5235.1791241382,0.02,corner,0.0,0.0,corner
47.986702994529246,199.95944990857848,226.5208024086732,24.30609577242631,87.50194478073472,6,5243.673927335587,0.02,corner,0.0,0.0,corner
50.0,200.0,228.53450773521723,24.42935869405917,87.94569129861301,6,5270.266045396221,0.02,corner,0.0,0.0,corner
52.0,200.0,230.53450773521723,24.66320869911214,88.7875513168037,6,5320.715660418089,0.0,straight,0.0,0.0,accel
54.0,200.0,232.53450773521723,24.97750256823131,89.91900924563271,6,5388.519827012841,0.0,straight,0.0,0.0,accel
56.0,200.0,234.53450773521723,25.320128182305403,91.15246145629945,6,5462.436140689011,0.0,straight,0.0,0.0,accel
58.0,200.0,236.53450773521723,25.662502516998472,92.38500906119451,6,5536.298244624912,0.0,straight,0.0,0.0,accel
60.0,200.0,238.53450773521723,25.999121396405158,93.59683702705857,6,5608.918695803919,0.0,straight,0.0,0.0,accel
62.0,200.0,240.53450773521723,26.330210611533374,94.78875820152015,6,5680.346205233853,0.0,straight,0.0,0.0,accel
64.0,200.0,242.53450773521723,26.655981128537988,95.96153206273677,6,5750.62628568386,0.0,straight,0.0,0.0,accel
66.0,200.0,244.53450773521723,26.97663043001414,97.11586954805091,6,5819.8015410482485,0.0,straight,0.0,0.0,accel
68.0,200.0,246.53450773521723,27.292343703626166,98.2524373330542,6,5887.911922775255,0.0,straight,0.0,0.0,accel
70.0,200.0,248.53450773521723,27.60329489882965,99.37186163578674,6,5954.994957838915,0.0,straight,0.0,0.0,accel
