x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,84.00000000000001,84.00000000000001,46.7924650874175,168.452874314703,6,10094.769290467533,0.0,straight,0.0,0.0,stoppie
0.0,86.0,86.0,46.28648217088814,166.6313358151973,6,9985.611100196098,0.0,straight,0.0,0.0,stoppie
0.0,88.0,88.0,45.774902494296995,164.78964897946918,6,9875.245493271315,0.0,straight,0.0,0.0,stoppie
0.0,90.0,90.0,45.25753597772146,162.92712951979726,6,9763.631462813935,0.0,straight,0.0,0.0,stoppie
0.0,92.0,92.0,44.734181523046374,161.04305348296694,6,9650.725624935689,0.0,straight,0.0,0.0,stoppie
0.0,94.0,94.0,44.20462609774498,159.13665395188193,6,9536.482021078828,0.0,straight,0.0,0.0,stoppie
0.0,96.0,96.0,43.66864371822277,157.20711738560198,6,9420.851898687873,0.0,straight,0.0,0.0,stoppie
0.0,98.0,98.0,43.125994318917485,155.25357954810295,6,9303.783467234993,0.0,straight,0.0,0.0,stoppie
0.0,100.0,100.0,42.57642249104552,153.27512096776388,6,9185.221626123528,0.0,straight,0.0,0.0,stoppie
0.0,102.00000000000001,102.00000000000001,42.01965607212679,151.27076185965646,6,9065.107660399257,0.0,straight,0.0,0.0,stoppie
0.0,104.0,104.0,41.45540456410082,149.23945643076294,6,8943.378899482741,0.0,straight,0.0,0.0,stoppie
0.0,106.0,106.0,40.88335735383522,147.1800864738068,6,8819.968333270886,0.0,straight,0.0,0.0,stoppie
0.0,108.0,108.0,40.3031817049535,145.0914541378326,6,8694.804178904007,0.0,straight,0.0,0.0,stoppie
0.0,109.99999999999999,109.99999999999999,39.71452048395591,142.97227374224127,6,8567.809390210698,0.0,straight,0.0,0.0,stoppie
0.0,112.0,112.0,39.11698957629682,140.82116247466854,6,8438.901100265439,0.0,straight,0.0,0.0,stoppie
0.0,114.0,114.0,38.510174939050295,138.63662978058107,6,8307.989985545613,0.0,straight,0.0,0.0,stoppie
0.0,116.0,116.0,37.89362922556992,136.4170652120517,6,8174.9795377527125,0.0,straight,0.0,0.0,stoppie
0.0,118.0,118.0,37.26686790350078,134.1607244526028,6,8039.765226331926,0.0,straight,0.0,0.0,stoppie
0.0,120.0,120.0,36.62936476980099,131.86571317128357,6,7902.233530905604,0.0,straight,0.0,0.0,stoppie
0.0,122.0,122.0,35.980546743955976,129.5299682782415,6,7762.2608179877025,0.0,straight,0.0,0.0,stoppie
0.0,124.0,124.0,35.31978779180744,127.1512360505068,6,7619.712030141429,0.0,straight,0.0,0.0,stoppie
0.0,126.0,126.0,34.646401795292945,124.7270464630546,6,7474.439147732988,0.0,straight,0.0,0.0,stoppie
0.0,128.0,128.0,33.95963413502585,122.25468288609306,6,7326.279373000054,0.0,straight,0.0,0.0,stoppie
0.0,130.0,130.0,33.25865168900937,119.73114608043373,6,7175.052972425,0.0,straight,0.0,0.0,stoppie
0.0,132.0,132.0,32.54253086614941,117.15311111813789,6,7020.560695145619,0.0,straight,0.0,0.0,stoppie
0.0,134.0,134.0,31.810243179372826,114.51687544574217,6,6862.580660572755,0.0,straight,0.0,0.0,stoppie
0.0,136.0,136.0,31.06063770802968,111.81829574890685,6,6700.864574917844,0.0,straight,0.0,0.0,stoppie
0.0,138.0,138.0,30.292419584973857,109.05271050590589,6,6535.133090104708,0.0,straight,0.0,0.0,stoppie
0.0,140.0,140.0,29.504123343213184,106.21484403556747,6,6365.07005371092,0.0,straight,0.0,0.0,stoppie
0.0,142.0,142.0,28.694079528539046,103.29868630274056,6,6190.315306145705,0.0,straight,0.0,0.0,stoppie
0.0,144.0,144.0,27.86037236221339,100.2973405039682,6,6010.455547012604,0.0,straight,0.0,0.0,stoppie
0.0,146.0,146.0,27.000681421237466,97.20245311645488,6,5824.990180012941,0.0,straight,0.0,0.0,stoppie
0.0,148.0,148.0,26.127477587728617,94.05891931582302,6,5636.609610056732,0.0,straight,0.0,0.0,braking
0.0,150.0,150.0,25.315353050313078,91.13527098112708,6,5461.405977911649,0.0,straight,0.0,0.0,braking
0.04055009142152244,152.01329700547075,152.01370532654403,24.704578834225874,88.93648380321315,6,5329.640643718465,0.02,corner,0.0,0.0,braking
0.16213459328950108,154.0233284358363,154.02741065308808,24.38020665759901,87.76874396735644,6,5259.662234135263,0.02,corner,0.0,0.0,braking
0.3645562950973016,156.02683401276616,156.0411159796321,24.276051383474517,87.39378498050826,6,5237.192303117355,0.02,corner,0.0,0.0,braking
0.6474868681043588,158.02056404288803,158.05482130617614,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,braking
1.0104673978866145,160.00128468880223,160.06852663272016,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
1.4529091286973994,161.9657832143779,162.0822319592642,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
1.9740944184313847,163.91087319582263,164.09593728580822,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
2.573177902642726,165.83339969007363,166.10964261235227,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
3.2491878657292617,167.7302443521268,168.1233479388963,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
4.001027817058791,169.59833049300374,170.13705326544033,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
4.827478269480885,171.4346280701527,172.15075859198438,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
5.727198717339512,173.23615860218842,174.1644639185284,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
6.698729810778062,175.0,176.17816924507244,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
7.740495722810273,176.72329130639005,178.19187457161647,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
8.850806705317183,178.4032373365578,180.2055798981605,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
10.027861829824936,180.03711321189894,182.21928522470452,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
11.269751908617273,181.62226877976886,184.23299055124855,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
12.574462591444956,183.15613291203977,186.2466958777926,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
13.939877632809278,184.63621767547997,188.26040120433663,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
15.363782324520031,186.06012236719073,190.27410653088066,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
16.843867087960234,187.42553740855504,192.28781185742469,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
18.37773122023114,188.73024809138272,194.3015171839687,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
19.96288678810107,189.97213817017507,196.31522251051277,24.261079942986875,87.33988779475276,6,5233.96244041646,0.02,corner,0.0,0.0,corner
