x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,0.0,0.0,41.14130240489209,148.1086886576115,4,9569.828531603831,0.0,straight,0.0,0.0,rpm
0.0,2.0,2.0,41.36746146796981,148.92286128469132,4,9622.435117394965,0.0,straight,0.0,0.0,accel
0.0,4.0,4.0,41.54125488542819,149.54851758754148,4,9662.860993771703,0.0,straight,0.0,0.0,accel
0.0,6.0,6.0,41.696745620658476,150.10828423437053,4,9699.029505399323,0.0,straight,0.0,0.0,accel
0.0,8.0,8.0,41.848541131530055,150.65474807350822,4,9734.338475363664,0.0,straight,0.0,0.0,accel
0.0,10.0,10.0,41.99909000545314,151.19672401963132,4,9769.357466617055,0.0,straight,0.0,0.0,accel
0.0,12.0,12.0,42.14840881969135,151.73427175088887,4,9804.090335176708,0.0,straight,0.0,0.0,accel
0.0,14.0,14.0,42.296513794171595,152.26744965901776,4,9838.540853940183,0.0,straight,0.0,0.0,accel
0.0,16.0,16.0,42.44342080251524,152.79631488905488,4,9872.71271525132,0.0,straight,0.0,0.0,accel
0.0,18.0,18.0,42.58914538262876,153.32092337746354,4,9906.609533363733,0.0,straight,0.0,0.0,accel
0.0,20.0,20.0,42.73370274687557,153.84132988875206,4,9940.234846806849,0.0,straight,0.0,0.0,accel
0.0,22.0,22.0,42.87710779184913,154.35758805065686,4,9973.592120659237,0.0,straight,0.0,0.0,accel
0.0,24.0,24.0,43.01937510776621,154.86975038795836,4,10006.68474873355,0.0,straight,0.0,0.0,accel
0.0,26.0,26.0,43.16051898749875,155.37786835499548,4,10039.516055677424,0.0,straight,0.0,0.0,accel
0.0,28.0,28.0,43.30055343526065,155.88199236693836,4,10072.089298994097,0.0,straight,0.0,0.0,accel
0.0,30.0,30.0,43.43949217496625,156.3821718298785,4,10104.407670986653,0.0,straight,0.0,0.0,accel
0.0,32.0,32.0,43.57734865827492,156.87845516978973,4,10136.474300629307,0.0,straight,0.0,0.0,accel
0.0,34.0,34.0,43.71413607233687,157.37088986041275,4,10168.29225536908,0.0,straight,0.0,0.0,accel
0.0,36.0,36.0,43.849867347253095,157.85952245011114,4,10199.864542861122,0.0,straight,0.0,0.0,accel
0.0,38.0,38.0,43.98455516326271,158.34439858774576,4,10231.194112640493,0.0,straight,0.0,0.0,accel
0.0,40.0,40.0,44.118211957669715,158.82556304761098,4,10262.28385773341,0.0,straight,0.0,0.0,accel
0.0,42.00000000000001,42.00000000000001,44.25084993152062,159.30305975347423,4,10293.136616210537,0.0,straight,0.0,0.0,accel
0.0,44.0,44.0,44.3824810560441,159.77693180175876,4,10323.755172684874,0.0,straight,0.0,0.0,accel
0.0,46.0,46.0,44.513117078862834,160.2472214839062,4,10354.142259756703,0.0,straight,0.0,0.0,accel
