x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,0.0,0.0,59.60752606301628,214.58709382685862,6,10498.77835436752,0.0,straight,0.0,0.0,rpm
0.0,2.0,2.0,59.60522238725788,214.57880059412838,6,10498.372603906375,0.0,straight,0.0,0.0,braking
0.0,4.0,4.0,59.59947148752764,214.5580973550995,6,10497.359687826916,0.0,straight,0.0,0.0,braking
0.0,6.0,6.0,59.592361561637055,214.5325016218934,6,10496.107404080693,0.0,straight,0.0,0.0,braking
0.0,8.0,8.0,59.58505264194325,214.5061895109957,6,10494.82007120608,0.0,straight,0.0,0.0,braking
0.0,10.0,10.0,59.57777661829883,214.4799958258758,6,10493.538532370478,0.0,straight,0.0,0.0,braking
0.0,12.0,12.0,59.57053334652742,214.4539200474987,6,10492.262762179851,0.0,straight,0.0,0.0,braking
0.0,14.0,14.0,59.56332268305063,214.42796165898227,6,10490.992735345473,0.0,straight,0.0,0.0,braking
0.0,16.0,16.0,59.556144484885834,214.402120145589,6,10489.728426683572,0.0,straight,0.0,0.0,braking
0.0,18.0,18.0,59.54899860964403,214.3763949947185,6,10488.469811114921,0.0,straight,0.0,0.0,braking
0.0,20.0,20.0,59.541884915527596,214.35078569589936,6,10487.216863664455,0.0,straight,0.0,0.0,braking
0.0,22.0,22.0,59.53480326132818,214.32529174078144,6,10485.9695594609,0.0,straight,0.0,0.0,braking
0.0,24.0,24.0,59.5277535064245,214.29991262312822,6,10484.727873736381,0.0,straight,0.0,0.0,braking
0.0,26.0,26.0,59.52073551078021,214.27464783880876,6,10483.491781826051,0.0,straight,0.0,0.0,braking
0.0,28.0,28.0,59.513749134941726,214.24949688579022,6,10482.261259167703,0.0,straight,0.0,0.0,braking
0.0,30.0,30.0,59.50679424003607,214.22445926412988,6,10481.036281301402,0.0,straight,0.0,0.0,braking
0.0,32.0,32.0,59.49987068776874,214.19953447596748,6,10479.816823869085,0.0,straight,0.0,0.0,braking
0.0,34.0,34.0,59.49297834042157,214.17472202551767,6,10478.60286261421,0.0,straight,0.0,0.0,braking
